,Unnamed: 0_x,sex,row_number,liters_drunk,age_kid,age_adult,age_old,drink,check_number,label,Unnamed: 0_y,session_start,morning,day,evening
138,168,1,96.0,2,0,1,0,0,7648,0,9982,07:00:00.000,Morning session,NaN,NaN
139,169,1,23.0,5,0,0,1,1,3011,1,9943,22:30:00.000,NaN,NaN,Evening session
140,170,1,16.0,2,0,1,0,1,6912,0,6238,15:34:00.000,NaN,Day session,NaN
141,171,Не указан,10.0,1,0,0,1,1,259,0,4554,22:15:00.000,NaN,NaN,Evening session
142,172,0,44.0,4,0,1,0,0,937,0,4940,06:00:00.000,Morning session,NaN,NaN
143,174,1,93.0,1,0,1,0,0,9303,0,9607,07:00:00.000,Morning session,NaN,NaN
144,176,1,16.0,3,0,0,1,1,3750,1,6947,15:30:00.000,NaN,Day session,NaN
145,178,0,9.0,5,0,1,0,1,2367,1,7593,06:15:00.000,Morning session,NaN,NaN
146,181,0,9.0,0,0,0,1,0,7185,1,1215,08:42:00.000,Morning session,NaN,NaN
147,182,1,45.0,2,0,1,0,1,7959,1,5110,23:42:00.000,NaN,NaN,Evening session
148,183,1,30.0,5,0,1,0,0,2546,1,3648,22:30:00.000,NaN,NaN,Evening session
149,184,0,17.0,0,0,0,1,0,2193,0,6090,23:42:00.000,NaN,NaN,Evening session
150,185,1,9.0,3,0,0,1,1,7851,1,334,15:34:00.000,NaN,Day session,NaN
151,186,1,98.0,2,0,0,1,0,1411,1,7865,21:00:00.000,NaN,NaN,Evening session
152,187,0,77.0,4,0,0,1,0,907,0,4970,06:15:00.000,Morning session,NaN,NaN
153,188,1,27.0,2,0,1,0,0,8777,1,8432,07:00:00.000,Morning session,NaN,NaN
154,190,1,91.0,4,0,0,1,0,8738,0,2888,06:15:00.000,Morning session,NaN,NaN
155,191,1,24.0,0,0,0,1,1,6615,1,6034,07:30:00.000,Morning session,NaN,NaN
156,192,0,41.0,5,1,0,0,0,4945,1,3080,06:00:00.000,Morning session,NaN,NaN
157,193,0,91.0,1,0,0,1,0,9076,0,1716,15:00:00.000,NaN,Day session,NaN
158,194,Не указан,77.0,3,0,0,1,0,2034,1,9580,06:15:00.000,Morning session,NaN,NaN
159,195,0,12.0,0,0,1,0,1,3502,0,9060,15:34:00.000,NaN,Day session,NaN
160,196,1,82.0,4,0,0,1,1,5950,1,8935,06:15:00.000,Morning session,NaN,NaN
161,197,1,8.0,2,0,1,0,0,9518,1,6493,23:42:00.000,NaN,NaN,Evening session
162,198,0,94.0,5,0,0,1,1,5689,1,5144,21:00:00.000,NaN,NaN,Evening session
163,199,0,59.0,1,0,0,1,0,2048,0,3494,14:00:00.000,NaN,Day session,NaN
164,200,Не указан,65.0,4,0,0,1,0,873,1,1905,15:00:00.000,NaN,Day session,NaN
165,201,0,23.0,4,0,1,0,1,8392,1,2661,23:42:00.000,NaN,NaN,Evening session
166,202,1,70.0,2,0,1,0,0,4303,0,1739,21:00:00.000,NaN,NaN,Evening session
167,203,1,2.0,1,0,1,0,1,2561,0,9016,07:00:00.000,Morning session,NaN,NaN
168,204,1,100.0,2,0,1,0,1,3639,0,8304,06:00:00.000,Morning session,NaN,NaN
169,205,Не указан,56.0,2,0,0,1,0,3721,0,6851,07:30:00.000,Morning session,NaN,NaN
170,206,1,85.0,1,0,1,0,0,5586,0,8921,14:15:00.000,NaN,Day session,NaN
171,207,0,43.0,2,0,0,1,1,7009,1,2859,22:30:00.000,NaN,NaN,Evening session
172,208,0,81.0,5,0,0,1,0,8532,0,608,22:15:00.000,NaN,NaN,Evening session
173,209,0,86.0,3,1,0,0,0,9526,0,7250,06:00:00.000,Morning session,NaN,NaN
174,211,1,50.0,4,0,0,1,0,8961,1,1538,15:34:00.000,NaN,Day session,NaN
175,212,Не указан,25.0,4,0,1,0,1,8728,1,2253,07:30:00.000,Morning session,NaN,NaN
176,213,0,64.0,0,0,0,1,0,3133,1,4590,06:00:00.000,Morning session,NaN,NaN
177,214,Не указан,56.0,3,0,0,1,1,7838,0,9730,15:00:00.000,NaN,Day session,NaN
178,216,0,20.0,0,0,0,1,1,3653,1,3273,07:00:00.000,Morning session,NaN,NaN
179,217,0,4.0,4,0,0,1,0,4122,1,1657,06:15:00.000,Morning session,NaN,NaN
180,218,1,89.0,4,0,0,1,1,4605,1,2304,06:15:00.000,Morning session,NaN,NaN
181,219,1,35.0,3,0,1,0,0,341,1,5016,14:00:00.000,NaN,Day session,NaN
182,220,1,7.0,2,0,0,1,1,9467,0,7873,07:00:00.000,Morning session,NaN,NaN
183,221,1,86.0,4,0,1,0,1,223,1,3935,07:00:00.000,Morning session,NaN,NaN
184,222,1,14.0,5,0,1,0,1,3641,1,4210,06:15:00.000,Morning session,NaN,NaN
185,223,1,64.0,3,0,0,1,0,8099,0,3299,07:00:00.000,Morning session,NaN,NaN
186,224,1,42.0,1,0,0,1,0,1160,0,2897,07:00:00.000,Morning session,NaN,NaN
187,225,1,57.0,3,0,1,0,1,7139,1,1091,23:42:00.000,NaN,NaN,Evening session
188,226,Не указан,39.0,0,0,1,0,1,1703,1,5422,07:30:00.000,Morning session,NaN,NaN
189,228,1,75.0,0,0,1,0,0,7807,1,9641,23:42:00.000,NaN,NaN,Evening session
190,229,0,95.0,4,0,1,0,1,3321,1,6281,23:42:00.000,NaN,NaN,Evening session
191,230,0,54.0,2,1,0,0,0,31,1,2973,14:15:00.000,NaN,Day session,NaN
192,232,0,64.0,0,0,1,0,1,8879,1,8341,07:00:00.000,Morning session,NaN,NaN
193,233,1,36.0,0,0,1,0,1,1165,0,3359,23:42:00.000,NaN,NaN,Evening session
194,235,1,64.0,1,0,1,0,0,1699,0,5883,07:00:00.000,Morning session,NaN,NaN
195,236,Не указан,43.0,2,0,1,0,0,1744,1,7777,15:00:00.000,NaN,Day session,NaN
196,237,0,72.0,3,0,0,1,0,1988,0,9835,07:00:00.000,Morning session,NaN,NaN
197,238,0,42.0,0,0,1,0,1,4879,1,6174,23:42:00.000,NaN,NaN,Evening session
198,239,0,55.0,4,0,0,1,0,4386,0,696,22:15:00.000,NaN,NaN,Evening session
199,240,Не указан,22.0,2,0,1,0,0,3940,0,4280,22:30:00.000,NaN,NaN,Evening session
200,241,1,95.0,0,1,0,0,0,4529,1,664,07:30:00.000,Morning session,NaN,NaN
201,242,1,94.0,4,0,0,1,1,9452,0,6979,15:30:00.000,NaN,Day session,NaN
202,243,1,31.0,0,0,0,1,0,7612,0,4149,14:15:00.000,NaN,Day session,NaN
203,244,0,99.0,0,0,1,0,0,562,1,9799,15:30:00.000,NaN,Day session,NaN
204,245,1,66.0,2,0,0,1,0,9291,1,6924,06:15:00.000,Morning session,NaN,NaN
205,246,1,22.0,0,0,0,1,1,4102,1,4265,15:00:00.000,NaN,Day session,NaN
206,247,0,84.0,0,0,0,1,1,9249,1,5513,15:30:00.000,NaN,Day session,NaN
207,249,1,93.0,0,0,1,0,1,8858,0,113,23:42:00.000,NaN,NaN,Evening session
208,250,0,97.0,5,0,1,0,0,8872,0,2397,07:00:00.000,Morning session,NaN,NaN
209,251,1,62.0,5,0,0,1,1,15,1,6058,06:15:00.000,Morning session,NaN,NaN
210,252,1,74.0,3,0,0,1,0,5352,0,1285,22:30:00.000,NaN,NaN,Evening session
211,253,Не указан,82.0,0,0,1,0,1,3088,1,4672,07:30:00.000,Morning session,NaN,NaN
212,254,0,87.0,1,0,1,0,1,9201,1,8342,06:15:00.000,Morning session,NaN,NaN
213,255,1,77.0,4,1,0,0,0,3619,1,1232,07:00:00.000,Morning session,NaN,NaN
214,257,0,79.0,0,0,0,1,1,2814,0,6798,15:00:00.000,NaN,Day session,NaN
215,258,0,34.0,3,0,1,0,0,4853,0,9512,14:15:00.000,NaN,Day session,NaN
216,259,1,81.0,0,0,1,0,1,4028,1,8102,23:42:00.000,NaN,NaN,Evening session
217,260,1,16.0,5,0,1,0,1,7221,1,3847,08:42:00.000,Morning session,NaN,NaN
218,261,Не указан,75.0,2,0,1,0,1,4542,1,9231,06:00:00.000,Morning session,NaN,NaN
219,263,0,35.0,3,0,1,0,1,1379,1,7332,07:30:00.000,Morning session,NaN,NaN
220,264,Не указан,49.0,4,0,1,0,0,2616,1,6306,07:00:00.000,Morning session,NaN,NaN
221,265,Не указан,56.0,3,0,1,0,1,6989,1,1882,15:34:00.000,NaN,Day session,NaN
222,266,1,4.0,4,0,0,1,0,7259,1,9177,07:00:00.000,Morning session,NaN,NaN
223,267,1,7.0,5,0,1,0,1,4854,1,1944,22:15:00.000,NaN,NaN,Evening session
224,268,1,6.0,1,0,1,0,0,6746,1,5116,06:15:00.000,Morning session,NaN,NaN
225,269,0,4.0,3,0,0,1,0,5834,0,7748,21:00:00.000,NaN,NaN,Evening session
226,270,1,2.0,1,0,1,0,0,6826,1,5404,21:00:00.000,NaN,NaN,Evening session
227,271,0,42.0,4,0,1,0,1,3698,1,6139,15:00:00.000,NaN,Day session,NaN
228,273,1,62.0,0,1,0,0,0,4676,1,8620,21:00:00.000,NaN,NaN,Evening session
229,274,1,27.0,0,0,1,0,0,4673,1,5624,15:34:00.000,NaN,Day session,NaN
230,275,1,93.0,1,0,1,0,1,8377,1,5551,07:30:00.000,Morning session,NaN,NaN
231,276,1,69.0,5,0,0,1,1,4076,1,4669,15:34:00.000,NaN,Day session,NaN
232,277,1,38.0,3,0,1,0,1,4980,0,2677,22:30:00.000,NaN,NaN,Evening session
233,278,Не указан,33.0,0,0,1,0,1,7219,1,3499,07:00:00.000,Morning session,NaN,NaN
234,279,Не указан,43.0,2,0,1,0,0,8486,0,9243,14:00:00.000,NaN,Day session,NaN
235,282,0,96.0,2,0,0,1,0,426,0,5884,14:15:00.000,NaN,Day session,NaN
236,284,0,50.0,3,0,0,1,1,4204,0,931,21:00:00.000,NaN,NaN,Evening session
237,285,Не указан,100.0,4,0,1,0,0,5610,1,8594,15:30:00.000,NaN,Day session,NaN
238,286,1,67.0,0,0,0,1,1,7754,1,707,14:15:00.000,NaN,Day session,NaN
239,288,1,78.0,2,0,0,1,1,8091,0,5512,15:30:00.000,NaN,Day session,NaN
240,291,1,74.0,5,0,0,1,1,4588,0,689,21:00:00.000,NaN,NaN,Evening session
241,293,1,20.0,0,0,0,1,1,1919,1,8672,21:00:00.000,NaN,NaN,Evening session
242,294,Не указан,95.0,0,0,1,0,0,5486,0,8502,22:15:00.000,NaN,NaN,Evening session
243,295,0,42.0,0,0,1,0,0,6891,0,9719,06:00:00.000,Morning session,NaN,NaN
244,296,1,17.0,5,0,1,0,0,4448,0,9474,06:15:00.000,Morning session,NaN,NaN
245,297,1,24.0,4,0,0,1,1,2022,0,3874,14:00:00.000,NaN,Day session,NaN
246,298,1,52.0,5,0,1,0,0,1925,1,4065,06:00:00.000,Morning session,NaN,NaN
247,299,0,70.0,0,0,0,1,1,4626,1,7715,07:00:00.000,Morning session,NaN,NaN
248,300,Не указан,78.0,5,1,0,0,0,7105,1,7499,15:30:00.000,NaN,Day session,NaN
249,301,1,65.0,1,0,1,0,0,2145,0,5526,21:00:00.000,NaN,NaN,Evening session
250,302,1,52.0,2,1,0,0,0,4201,1,4608,14:00:00.000,NaN,Day session,NaN
251,303,0,96.0,2,0,1,0,1,7376,0,1071,15:00:00.000,NaN,Day session,NaN
252,304,1,29.0,0,0,0,1,1,316,1,394,07:30:00.000,Morning session,NaN,NaN
253,305,0,42.0,2,0,1,0,1,5432,0,1575,21:00:00.000,NaN,NaN,Evening session
254,307,1,76.0,1,0,1,0,0,960,0,6135,06:15:00.000,Morning session,NaN,NaN
255,309,Не указан,22.0,2,0,1,0,0,689,0,5967,15:00:00.000,NaN,Day session,NaN
256,310,0,94.0,2,0,0,1,0,3715,0,5457,15:34:00.000,NaN,Day session,NaN
257,311,0,80.0,1,0,1,0,1,2203,1,1473,08:42:00.000,Morning session,NaN,NaN
258,312,Не указан,74.0,4,0,1,0,1,2056,1,8066,22:15:00.000,NaN,NaN,Evening session
259,313,1,61.0,2,0,1,0,0,5479,0,7229,14:15:00.000,NaN,Day session,NaN
260,314,0,53.0,2,0,1,0,0,4113,1,4614,07:30:00.000,Morning session,NaN,NaN
261,316,0,55.0,5,0,1,0,0,1126,0,9826,14:00:00.000,NaN,Day session,NaN
262,317,0,52.0,0,0,0,1,1,8167,0,9442,14:15:00.000,NaN,Day session,NaN
263,319,1,31.0,4,0,1,0,0,9486,1,2893,06:15:00.000,Morning session,NaN,NaN
264,320,1,69.0,2,0,0,1,1,5954,1,9042,07:30:00.000,Morning session,NaN,NaN
265,322,1,48.0,4,1,0,0,0,3534,0,2991,06:15:00.000,Morning session,NaN,NaN
266,323,0,10.0,4,0,0,1,1,3274,1,4463,21:00:00.000,NaN,NaN,Evening session
267,325,1,76.0,5,1,0,0,0,6094,1,1505,22:30:00.000,NaN,NaN,Evening session
268,326,0,38.0,2,0,1,0,1,6488,1,4006,14:00:00.000,NaN,Day session,NaN
269,327,1,60.0,4,0,0,1,0,3246,1,1714,21:00:00.000,NaN,NaN,Evening session
270,328,1,73.0,5,1,0,0,0,2410,1,8364,07:00:00.000,Morning session,NaN,NaN
271,329,1,37.0,5,0,0,1,1,1069,1,1252,06:15:00.000,Morning session,NaN,NaN
272,330,0,1.0,5,0,0,1,0,8251,1,88,14:15:00.000,NaN,Day session,NaN
273,331,1,29.0,5,0,1,0,1,9898,1,5334,23:42:00.000,NaN,NaN,Evening session
274,332,0,84.0,0,0,0,1,0,8195,0,4156,06:15:00.000,Morning session,NaN,NaN
275,333,1,12.0,5,0,1,0,0,9141,0,5975,15:34:00.000,NaN,Day session,NaN
276,335,0,35.0,2,0,0,1,1,5641,1,5137,22:15:00.000,NaN,NaN,Evening session
277,336,1,66.0,3,0,0,1,0,6879,0,7388,15:30:00.000,NaN,Day session,NaN
278,337,1,20.0,1,0,0,1,1,9838,0,911,23:42:00.000,NaN,NaN,Evening session
279,338,1,83.0,1,0,1,0,1,8715,1,4903,21:00:00.000,NaN,NaN,Evening session
280,339,1,77.0,2,1,0,0,0,9693,1,404,14:15:00.000,NaN,Day session,NaN
281,340,1,40.0,2,1,0,0,0,7171,0,2675,14:15:00.000,NaN,Day session,NaN
282,341,1,80.0,4,0,1,0,0,4461,1,2181,14:00:00.000,NaN,Day session,NaN
